Lot nummer ,102 ,103 ,104 ,105 ,106
Lengte ,"8,5 m ","7,5 m ","9,7 m ","7,8 m ","10,6 m"
Middendiameter ,71 cm ,73 cm ,86 cm ,80 cm ,72 cm
Volume ,"3,37 m³ ","3,14 m³ ","5,63 m³ ","3,92 m³ ","4,32 m³"
1 ,€ 1.497 ,€ 1.701 ,€ 3.661 ,€ 2.251 ,€ 2.501
2 ,- ,€ 1.071 ,€ 2.030 ,€ 1.470 ,€ 1.144
3 ,€ 1.414 ,€ 1.444 ,€ 2.815 ,€ 1.764 ,€ 1.987
4 ,€ 1.348 ,€ 1.570 ,€ 2.193 ,€ 1.636 ,€ 2.231
5 ,€ 1.117 ,€ 947 ,€ 1.915 ,€ 1.223 ,€ 1.209
6 ,€ 1.596 ,€ 2.263 ,€ 3.787 ,€ 2.477 ,€ 2.931
7 ,€ 1.647 ,€ 1.612 ,€ 2.602 ,€ 2.156 ,€ 2.372
8 ,- ,- ,€ 3.452 ,- ,-
9 ,€ 1.389 ,€ 2.550 ,€ 5.912 ,- ,€ 4.925
10 ,€ 2.708 ,€ 2.426 ,€ 8.270 ,€ 3.675 ,€ 5.270
11 ,€ 2.604 ,€ 2.325 ,€ 8.150 ,€ 3.640 ,€ 5.160
12 ,€ 2.629 ,€ 2.355 ,€ 8.164 ,€ 3.568 ,€ 5.184
13 ,€ 3.370 ,€ 2.511 ,€ 4.296 ,€ 4.900 ,€ 6.912
14 ,€ 3.639 ,€ 2.292 ,€ 6.815 ,€ 3.214 ,€ 5.011
