Jaar,Boomsoort,Prijs,
1998,Elsbes,2142,
1999,Elsbes,1881,
2000,Elsbes,1954,
2001,Elsbes,1301,
2002,Elsbes,1044,
2003,Elsbes,1967,
2004,Elsbes,1118,
2005,Elsbes,1225,
2006,Elsbes,1273,
2007,Elsbes,1277,
2008,Elsbes,961,
2009,Elsbes,1047,
2010,Elsbes,933,
2011,Elsbes,1048,
2012,Elsbes,620,
2013,Elsbes,840,
1998,Zoete kers,473,
1999,Zoete kers,458,
2000,Zoete kers,404,
2001,Zoete kers,309,
2002,Zoete kers,380,
2003,Zoete kers,720,
2004,Zoete kers,554,
2005,Zoete kers,457,
2006,Zoete kers,402,
2007,Zoete kers,429,
2008,Zoete kers,421,
2009,Zoete kers,220,
2010,Zoete kers,414,
2011,Zoete kers,305,
2012,Zoete kers,192,
2013,Zoete kers,340,
2000,Eik,551,
2001,Eik,552,
2002,Eik,649,
2003,Eik,889,
2004,Eik,769,
2005,Eik,667,
2006,Eik,513,
2007,Eik,584,
2008,Eik,805,
2009,Eik,730,
2010,Eik,553,
2011,Eik,683,
2012,Eik,563,
2013,Eik,700,
1998,Es,467,
1999,Es,429,
2000,Es,302,
2001,Es,422,
2002,Es,348,
2003,Es,311,
2004,Es,282,
2005,Es,282,
2006,Es,212,
2007,Es,256,
2008,Es,306,
2009,Es,242,
2010,Es,252,
2011,Es,304,
2012,Es,219,
2013,Es,256,
1998,Gewone esdoorn,765,
1999,Gewone esdoorn,668,
2000,Gewone esdoorn,640,
2001,Gewone esdoorn,809,
2002,Gewone esdoorn,497,
2003,Gewone esdoorn,536,
2004,Gewone esdoorn,561,
2005,Gewone esdoorn,685,
2006,Gewone esdoorn,611,
2007,Gewone esdoorn,459,
2008,Gewone esdoorn,425,
2009,Gewone esdoorn,413,
2010,Gewone esdoorn,702,
2011,Gewone esdoorn,613,
2012,Gewone esdoorn,486,
2013,Gewone esdoorn,443,
