Boomsoort,Jaar,Aanbod,Änderung zum Vorjahr,Angebot (Lose),Nicht verkaufte Lose,Prijs,Änderung zum Vorjahr in %
Eik,2013,439,-9,287,0,435,3
Eik,2012,485,18,330,11,424,-8
Eik,2011,410,56,261,0,461,4
Eik,2010,262,-27,176,1,445,0
Eik,2009,360,-46,244,R1,446,-10
Eik,2008,671,13,489,1,496,-4
Kers,2013,86,-19,86,0,224,-7
Kers,2012,106,29,107,3,240,-3
Kers,2011,82,30,89,3,248,-10
Kers,2010,63,-39,63,7,277,7
Kers,2009,103,-70,106,7,258,-26
Kers,2008,349,-13,394,122,350,-4
Amerikaanse eik,2013,11,-61,8,0,179,22
Amerikaanse eik,2012,28,3,15,2,146,-33
Amerikaanse eik,2011,27,285,18,0,217,10
Amerikaanse eik,2010,7,-76,5,0,198,23
Amerikaanse eik,2009,29,-63,16,1,161,-30
Amerikaanse eik,2008,78,-28,41,2,230,-11
Es,2013,40,-52,26,0,186,1
Es,2012,84,394,50,0,184,-35
Es,2011,17,-11,14,0,282,20
Es,2010,19,-14,13,0,235,53
Es,2009,22,-4,15,0,154,-23
Es,2008,23,-71,22,3,199,-17
Esdoorn,2013,21,-45,15,0,254,-60
Esdoorn,2012,38,190,32,4,628,108
Esdoorn,2011,20,0,17,0,302,7
Esdoorn,2010,20,89,23,0,283,-19
Esdoorn,2009,9,-87,12,1,362,-28
Esdoorn,2008,68,-22,69,8,504,-10
Beuk,2013,15,-53,9,0,130,14
Beuk,2012,32,-24,21,0,114,4
Beuk,2011,42,121,24,0,110,-23
Beuk,2010,19,73,10,0,143,-7
Beuk,2009,11,-73,8,0,154,11
Beuk,2008,40,-37,40,2,140,-31
Douglas,2013,45,NN.,25,0,162,NN.
