Boomsoort,Jaar,Volume,Hoogste bod,Gemiddelde
Appelboom,2013,3.44,612,401
Appelboom,2012,0.1,100,100
Appelboom,2011,1.32,300,289
Gewone esdoorn,2013,72.18,8626,882
Gewone esdoorn,2012,118.5,7014,557
Gewone esdoorn,2011,100.4,5700,883
Berk,2013,0.84,281,281
Perenboom,2013,4.84,503,380
Perenboom,2012,8.72,300,173
Perenboom,2011,0.94,410,393
Beuk,2013,13.24,223,187
Beuk,2012,100.74,283,164
Beuk,2011,49.8,555,234
Douglas,2013,38.82,501,368
Douglas,2012,25.59,460,333
Douglas,2011,93.42,525,328
Taxus,2013,1.42,1111,430
Taxus,2012,3.58,855,450
Taxus,2011,1.2,1047,222
Eik,2013,152.6,951,527
Eik,2012,195.74,1110,556
Eik,2011,192.36,1675,662
Elsbes,2013,1.56,1082,535
Elsbes,2012,3.29,279,154
Es,2013,71.54,361,187
Es,2012,137.33,496,217
Es,2011,122.72,520,283
Fijnspar,2013,214.77,751,330
Fijnspar,2012,289.26,869,348
Fijnspar,2011,292.99,920,377
Grove den,2013,27.76,336,268
Grove den,2012,48.95,308,258
Grove den,2011,50.51,520,329
Haagbeuk,2013,3.28,182,119
Zoete kers,2013,6.78,612,223
Zoete kers,2012,14.9,455,224
Zoete kers,2011,17.47,502,273
Lariks,2013,102.13,999,513
Lariks,2012,15.06,1317,638
Lariks,2011,89.28,1610,680
Linde,2013,11.14,356,183
Linde,2012,4.68,238,187
Linde,2011,7.25,217,203
Meelbes,2013,0.74,404,285
Meelbes,2011,0.8,123,123
Walnoot,2013,50.26,5055,976
Walnoot,2012,53.39,2815,1021
Walnoot,2011,34.82,4720,1308
Amerikaanse eik,2013,0.83,180,180
Amerikaanse eik,2011,4.1,465,351
Zwarte els,2013,4.26,202,110
Noorse esdoorn,2013,4,661,516
Noorse esdoorn,2012,5.2,365,260
Noorse esdoorn,2011,6.68,305,136
Zilverden,2013,61.95,401,230
Zilverden,2012,84.58,372,190
Zilverden,2011,95.63,482,271
Iep,2013,30.41,736,325
Iep,2012,45.34,1333,455
Iep,2011,29.19,1666,622
Weymouthden,2013,3.87,217,217
Weymouthden,2012,3.68,367,367
Appelboom,2010,0.41,452,452
Appelboom,2009,0.95,365,291
Appelboom,2008,4,-,199
Gewone esdoorn,2010,91.8,9001,908
Gewone esdoorn,2009,60.75,1870,433
Gewone esdoorn,2008,42,-,835
Gewone esdoorn,2007,83,-,571
Perenboom,2010,8.71,452,140
Perenboom,2009,5.89,375,175
Beuk,2010,44.5,406,214
Beuk,2009,42.49,322,195
Beuk,2008,40,-,276
Beuk,2007,57,-,214
Douglas,2010,47.17,480,397
Douglas,2009,27.77,366,312
Douglas,2008,25,-,312
Douglas,2007,7,-,400
Taxus,2010,1.57,500,417
Eik,2010,239.53,1210,514
Eik,2009,187.56,1156,557
Eik,2008,83,-,689
Eik,2007,24,-,765
Elsbes,2010,1.45,100,83
Elsbes,2009,2.24,468,422
Zwarte els,2010,4.42,550,169
Es,2010,77.08,355,242
Es,2009,179.45,709,324
Es,2008,49,-,285
Es,2007,39,-,316
Fijnspar,2010,253.17,1250,378
Fijnspar,2009,179.45,709,324
Fijnspar,2008,98,-,519
Fijnspar,2007,195,-,367
Grove den,2010,28.66,360,311
Grove den,2009,40.74,362,248
Grove den,2008,44,-,374
Grove den,2007,14,-,329
Kastanje,2010,0.67,329,329
Lariks,2010,67.14,1485,697
Lariks,2009,86.66,1214,720
Lariks,2008,54,,710
Lariks,2007,32,,628
Linde,2010,4.7,326,141
Linde,2009,7.94,330,248
Linde,2008,1,-,315
Walnoot,2010,51.13,6550,1032
Walnoot,2009,27.55,5658,1231
Walnoot,2008,19,-,1209
Walnoot,2007,8,-,1065
Populier,2010,1.61,65,65
Noorse esdoorn,2010,6.72,650,345
Noorse esdoorn,2009,1.23,451,451
Noorse esdoorn,2008,6,-,1483
Noorse esdoorn,2007,7,-,577
Zilverden,2010,34,386,292
Zilverden,2009,21.02,264,192
Zilverden,2008,41,-,257
Zilverden,2007,8,-,320
Iep,2010,29,552,354
Iep,2009,24.11,1650,605
Iep,2008,11,-,363
Iep,2007,10,-,344
Cipres,2010,1.06,70,70
