DBH,Leeftijd,Boomsoort,Kroondiameter
5,5,Es (opstand),0.94
10,10,Es (opstand),1.88
15,15,Es (opstand),2.81
20,20,Es (opstand),3.75
25,25,Es (opstand),4.69
30,30,Es (opstand),5.63
35,35,Es (opstand),6.57
40,40,Es (opstand),7.51
45,45,Es (opstand),8.44
50,50,Es (opstand),9.38
55,55,Es (opstand),10.32
60,60,Es (opstand),11.26
65,65,Es (opstand),12.20
70,70,Es (opstand),13.14
75,75,Es (opstand),14.07
80,80,Es (opstand),15.01
85,85,Es (opstand),15.95
90,90,Es (opstand),16.89
95,95,Es (opstand),17.83
5,5,Es (solitair),1.43
10,10,Es (solitair),2.70
15,15,Es (solitair),3.92
20,20,Es (solitair),5.11
25,25,Es (solitair),6.27
30,30,Es (solitair),7.41
35,35,Es (solitair),8.54
40,40,Es (solitair),9.65
45,45,Es (solitair),10.76
50,50,Es (solitair),11.85
55,55,Es (solitair),12.93
60,60,Es (solitair),14.01
65,65,Es (solitair),15.08
70,70,Es (solitair),16.14
75,75,Es (solitair),17.19
80,80,Es (solitair),18.24
85,85,Es (solitair),19.29
90,90,Es (solitair),20.32
95,95,Es (solitair),21.36
100,100,Es (solitair),22.39
5,5,Esdoorn (opstand),0.85
10,10,Esdoorn (opstand),1.70
15,15,Esdoorn (opstand),2.56
20,20,Esdoorn (opstand),3.41
25,25,Esdoorn (opstand),4.26
30,30,Esdoorn (opstand),5.11
35,35,Esdoorn (opstand),5.97
40,40,Esdoorn (opstand),6.82
45,45,Esdoorn (opstand),7.67
50,50,Esdoorn (opstand),8.52
55,55,Esdoorn (opstand),9.37
60,60,Esdoorn (opstand),10.23
65,65,Esdoorn (opstand),11.08
70,70,Esdoorn (opstand),11.93
75,75,Esdoorn (opstand),12.78
80,80,Esdoorn (opstand),13.64
85,85,Esdoorn (opstand),14.49
5,5,Esdoorn (solitair),1.62
10,10,Esdoorn (solitair),2.88
15,15,Esdoorn (solitair),4.03
20,20,Esdoorn (solitair),5.11
25,25,Esdoorn (solitair),6.14
30,30,Esdoorn (solitair),7.14
35,35,Esdoorn (solitair),8.11
40,40,Esdoorn (solitair),9.05
45,45,Esdoorn (solitair),9.98
50,50,Esdoorn (solitair),10.88
55,55,Esdoorn (solitair),11.78
60,60,Esdoorn (solitair),12.65
65,65,Esdoorn (solitair),13.52
70,70,Esdoorn (solitair),14.37
75,75,Esdoorn (solitair),15.21
80,80,Esdoorn (solitair),16.05
85,85,Esdoorn (solitair),16.87
90,90,Esdoorn (solitair),17.69
95,95,Esdoorn (solitair),18.50
100,100,Esdoorn (solitair),19.30
