DBH,Boomsoort,Kroondiameter,KDratio,N,,,,,,,,
10,Gewone esdoorn,2.56,25.60,1526,4062.913325,0.514292826,15360.8987,,,,,
15,Gewone esdoorn,3.49,23.29,819,5045.591266,1.437035487,5497.428609,,,,,
20,Gewone esdoorn,4.43,22.14,510,6077.748058,3.077340789,2567.151493,,,,,
25,Gewone esdoorn,5.36,21.44,348,7129.69639,5.640582587,1400.564548,,,,,
30,Gewone esdoorn,6.29,20.98,252,8191.540492,9.332134738,846.5372845,,,,,
35,Gewone esdoorn,7.23,20.65,191,9259.03932,14.3573711,550.2400088,,,,,
40,Gewone esdoorn,8.16,20.41,150,10330.07235,20.92166552,377.599001,,,,,
45,Gewone esdoorn,9.10,20.21,121,11403.46152,29.23039187,270.266647,,,,,
50,Gewone esdoorn,10.03,20.06,99,12478.49998,39.48892399,200.0560968,,,,,
55,Gewone esdoorn,10.96,19.93,83,13554.73793,51.90263575,152.2080697,,,,,
60,Gewone esdoorn,11.90,19.83,71,14631.8755,66.676901,118.4818113,,,,,
65,Gewone esdoorn,12.83,19.74,61,15709.70507,84.01709359,94.0284847,,,,,
70,Gewone esdoorn,13.77,19.67,53,16788.07838,104.1285874,75.86773429,,,,,
75,Gewone esdoorn,14.70,19.60,46,17866.88666,127.2167562,62.09873788,,,,,
80,Gewone esdoorn,15.63,19.54,41,18946.04836,153.486974,51.4701658,,,,,
10,Berk,2.59,25.90,1490,4161.184751,0.526732247,14998.13244,,,,,
15,Berk,3.40,22.65,866,4773.443521,1.359525053,5810.852827,,,,,
20,Berk,4.21,21.03,565,5484.005684,2.776711739,2845.091872,,,,,
25,Berk,5.01,20.05,398,6233.889205,4.931874371,1601.825068,,,,,
30,Berk,5.82,19.40,295,7003.433404,7.978595017,990.1492661,,,,,
35,Berk,6.63,18.94,228,7784.212276,12.07045574,654.4906147,,,,,
40,Berk,7.44,18.59,181,8572.01282,17.36103862,455.0419,,,,,
45,Berk,8.24,18.32,147,9364.494477,24.00392572,329.1128332,,,,,
50,Berk,9.05,18.10,122,10160.25291,32.1526991,245.7025451,,,,,
55,Berk,9.86,17.92,103,10958.39446,41.96094083,188.2703258,,,,,
60,Berk,10.67,17.78,88,11758.32335,53.58223298,147.4369312,,,,,
10,Tamme kastanje,3.86,38.60,671,9237.832664,1.169345907,6755.913672,,,,,
15,Tamme kastanje,4.39,29.29,518,7978.513126,2.272361333,3476.559773,,,,,
20,Tamme kastanje,4.93,24.63,412,7525.308913,3.810282994,2073.336813,,,,,
25,Tamme kastanje,5.46,21.84,335,7394.55083,5.850119328,1350.399805,,,,,
30,Tamme kastanje,5.99,19.98,278,7425.015812,8.458878774,933.9299228,,,,,
35,Tamme kastanje,6.53,18.65,235,7547.608261,11.70356977,675.0077245,,,,,
40,Tamme kastanje,7.06,17.65,201,7727.780375,15.65120076,504.7536046,,,,,
45,Tamme kastanje,7.59,16.87,173,7946.338933,20.36878018,387.8484588,,,,,
50,Tamme kastanje,8.13,16.25,151,8191.768002,25.92331646,304.7449585,,,,,
55,Tamme kastanje,8.66,15.75,133,8456.739261,32.38181806,243.9640661,,,,,
60,Tamme kastanje,9.19,15.32,118,8736.367162,39.8112934,198.4361553,,,,,
65,Tamme kastanje,9.73,14.96,106,9027.269404,48.27875093,163.6330652,,,,,
70,Tamme kastanje,10.26,14.66,95,9327.030055,57.85119908,136.5572387,,,,,
75,Tamme kastanje,10.79,14.39,86,9633.877435,68.59564629,115.167659,,,,,
80,Tamme kastanje,11.33,14.16,78,9946.482781,80.57910101,98.04030947,,,,,
10,Beuk,2.66,26.56,1417,4376.163107,0.553944697,14261.35143,,,,,
15,Beuk,3.42,22.79,856,4830.267758,1.375709172,5742.49279,,,,,
20,Beuk,4.18,20.90,572,5417.080472,2.742825555,2880.241503,,,,,
25,Beuk,4.94,19.77,410,6056.97641,4.791911717,1648.611341,,,,,
30,Beuk,5.70,19.01,307,6723.413961,7.659585526,1031.3874,,,,,
35,Beuk,6.46,18.47,239,7405.018148,11.48246485,688.0055897,,,,,
40,Beuk,7.23,18.07,191,8096.101482,16.39716756,481.790527,,,,,
45,Beuk,7.99,17.75,157,8793.504248,22.54031152,350.4831773,,,,,
50,Beuk,8.75,17.50,131,9495.330615,30.04851461,262.9081705,,,,,
55,Beuk,9.51,17.29,111,10200.37415,39.05839468,202.2612569,,,,,
60,Beuk,10.27,17.12,95,10907.83055,49.70656962,158.9327137,,,,,
65,Beuk,11.03,16.98,82,11617.14302,62.12965728,127.1534456,,,,,
70,Beuk,11.80,16.85,72,12327.91381,76.46427554,103.3162211,,,,,
75,Beuk,12.56,16.74,63,13039.85127,92.84704227,85.08617837,,,,,
80,Beuk,13.32,16.65,56,13752.73664,111.4145753,70.90634216,,,,,
10,Es,2.79,27.94,1281,4840.294975,0.612695566,12893.84228,,,,,
15,Es,3.81,25.41,688,6006.402456,1.710684244,4618.035169,,,,,
20,Es,4.83,24.15,429,7231.911584,3.661727385,2157.451708,,,,,
25,Es,5.85,23.39,292,8481.181372,6.709795389,1177.383145,,,,,
30,Es,6.87,22.88,212,9742.331489,11.09885866,711.7848999,,,,,
35,Es,7.88,22.52,161,11010.27037,17.07288759,462.7219594,,,,,
40,Es,8.90,22.25,126,12282.45222,24.87585259,317.5770547,,,,,
45,Es,9.92,22.04,102,13557.46272,34.75172406,227.3268511,,,,,
