DBH,Boomsoort,Kroondiameter
5,Eik,2.205617916
10,Eik,3.665431111
15,Eik,4.933609098
20,Eik,6.0914382
25,Eik,7.173572634
30,Eik,8.198974149
35,Eik,9.179480943
40,Eik,10.12312555
45,Eik,11.03568236
50,Eik,11.92148292
55,Eik,12.78388457
60,Eik,13.62555804
65,Eik,14.44867324
70,Eik,15.25502436
75,Eik,16.04611703
80,Eik,16.82323084
85,Eik,17.58746517
90,Eik,18.3397737
95,Eik,19.08099069
100,Eik,19.81185139
105,Eik,20.53300817
110,Eik,21.24504334
115,Eik,21.94847948
120,Eik,22.64378792
5,Grove den,2.332054706
10,Grove den,3.600760471
15,Grove den,4.64248623
20,Grove den,5.559679168
25,Grove den,6.394156118
30,Grove den,7.168134119
35,Grove den,7.895173452
40,Grove den,8.584306761
45,Grove den,9.241926592
50,Grove den,9.872763506
55,Grove den,10.48044033
60,Grove den,11.06780811
65,Grove den,11.63716073
70,Grove den,12.19037804
75,Grove den,12.72902461
80,Grove den,13.25441997
85,Grove den,13.76768982
90,Grove den,14.26980416
95,Grove den,14.76160621
100,Grove den,15.24383475
105,Grove den,15.7171416
110,Grove den,16.18210549
115,Grove den,16.63924317
120,Grove den,17.08901847
