Boomsoort,DBH,Kroondiameter
Fijnspar,5,2.040998113
Fijnspar,10,3.189598537
Fijnspar,15,4.141487963
Fijnspar,20,4.98459002
Fijnspar,25,5.755051085
Fijnspar,30,6.472168622
Fijnspar,35,7.147764757
Fijnspar,40,7.789738233
Fijnspar,45,8.403693484
Fijnspar,50,8.99378711
Fijnspar,55,9.56320866
Fijnspar,60,10.11447264
Fijnspar,65,10.64960541
Fijnspar,70,11.17027001
Fijnspar,75,11.67785244
Fijnspar,80,12.1735231
Fijnspar,85,12.65828162
Fijnspar,90,13.13299031
Fijnspar,95,13.59839955
Fijnspar,100,14.05516743
Zilverden,5,2.606159279
Zilverden,10,3.784034544
Zilverden,15,4.706436351
Zilverden,20,5.494260287
Zilverden,25,6.195078545
Zilverden,30,6.833549228
Zilverden,35,7.424439971
Zilverden,40,7.977436716
Zilverden,45,8.499305204
Zilverden,50,8.994995588
Zilverden,55,9.468260961
Zilverden,60,9.922028383
Zilverden,65,10.35863375
Zilverden,70,10.77997709
Zilverden,75,11.1876289
Zilverden,80,11.58290529
Zilverden,85,11.96692239
Zilverden,90,12.34063656
Zilverden,95,12.70487487
Zilverden,100,13.06035832
Lariks,5,2.135112818
Lariks,10,3.426206968
Lariks,15,4.518150154
Lariks,20,5.498020565
Lariks,25,6.402182676
Lariks,30,7.250257413
Lariks,35,8.054363404
Lariks,40,8.822651528
Lariks,45,9.560937784
Lariks,50,10.27355684
Lariks,55,10.96384929
Lariks,60,11.63445896
Lariks,65,12.28752395
Lariks,70,12.92480462
Lariks,75,13.54777246
Lariks,80,14.15767348
Lariks,85,14.75557463
Lariks,90,15.34239848
Lariks,95,15.91894968
Lariks,100,16.48593541
Grove den,5,2.29087706
Grove den,10,3.537180984
Grove den,15,4.560512744
Grove den,20,5.461510587
Grove den,25,6.281252978
Grove den,30,7.041564665
Grove den,35,7.755766492
Grove den,40,8.43273161
Grove den,45,9.07873969
Grove den,50,9.698437766
Grove den,55,10.2953847
Grove den,60,10.87238118
Grove den,65,11.43168061
Grove den,70,11.97512963
Grove den,75,12.50426518
Grove den,80,13.02038351
Grove den,85,13.52459044
Grove den,90,14.01783883
Grove den,95,14.50095701
Grove den,100,14.97467073
Zwarte den,5,2.359749154
Zwarte den,10,3.654397342
Zwarte den,15,4.719862543
Zwarte den,20,5.659338794
Zwarte den,25,6.515022379
Zwarte den,30,7.309358752
Zwarte den,35,8.05606019
Zwarte den,40,8.764267427
Zwarte den,45,9.440453611
Zwarte den,50,10.08941159
Zwarte den,55,10.71481368
Zwarte den,60,11.31955113
Zwarte den,65,11.9059511
Zwarte den,70,12.47592139
Zwarte den,75,13.03105037
Zwarte den,80,13.57267807
Zwarte den,85,14.10194799
Zwarte den,90,14.61984573
Zwarte den,95,15.1272283
Zwarte den,100,15.62484675
Beuk,5,3.467558349
Beuk,10,5.282131284
Beuk,15,6.756655926
Beuk,20,8.046270052
Beuk,25,9.213791161
Beuk,30,10.29241329
Beuk,35,11.30231241
Beuk,40,12.25688236
Beuk,45,13.16557494
Beuk,50,14.03536715
Beuk,55,14.87159043
Beuk,60,15.67843213
Beuk,65,16.45925528
Beuk,70,17.21681136
Beuk,75,17.9533869
Beuk,80,18.67090766
Beuk,85,19.37101435
Beuk,90,20.05511898
Beuk,95,20.72444764
Beuk,100,21.38007336
Eik,5,2.18604965
Eik,10,3.632911366
Eik,15,4.889838065
Eik,20,6.037394895
Eik,25,7.109928621
Eik,30,8.126232762
Eik,35,9.098040489
Eik,40,10.03331307
Eik,45,10.93777367
Eik,50,11.81571539
Eik,55,12.67046581
Eik,60,13.50467194
Eik,65,14.32048445
Eik,70,15.11968162
Eik,75,15.90375571
Eik,80,16.67397495
Eik,85,17.43142899
Eik,90,18.17706303
Eik,95,18.91170393
Eik,100,19.63608043
Esdoorn,5,3.555827962
Esdoorn,10,5.129028277
Esdoorn,15,6.354762497
Esdoorn,20,7.398257552
Esdoorn,25,8.324274404
Esdoorn,30,9.16629176
Esdoorn,35,9.944319171
Esdoorn,40,10.67145897
Esdoorn,45,11.35685045
Esdoorn,50,12.00717225
Esdoorn,55,12.62748249
Esdoorn,60,13.22172224
Esdoorn,65,13.79303386
Esdoorn,70,14.3439713
Esdoorn,75,14.87664402
Esdoorn,80,15.39281861
Esdoorn,85,15.8939922
Esdoorn,90,16.38144695
Esdoorn,95,16.85629095
Esdoorn,100,17.31948976
Es,5,3.100971536
Es,10,4.760193711
Es,15,6.116484108
Es,20,7.307208047
Es,25,8.388241657
Es,30,9.389202333
Es,35,10.32813481
Es,40,11.2170413
Es,45,12.06440543
Es,50,12.87649845
Es,55,13.65811852
Es,60,14.41303842
Es,65,15.1442913
Es,70,15.85436106
Es,75,16.54531368
Es,80,17.21889054
Es,85,17.87657635
Es,90,18.51964979
Es,95,19.14922188
Es,100,19.76626558
Linde,5,2.97441261
Linde,10,4.404886334
Linde,15,5.542304777
Linde,20,6.523312721
Linde,25,7.402317707
Linde,30,8.207745788
Linde,35,8.956725269
Linde,40,9.66054641
Linde,45,10.32712884
Linde,50,10.96228815
Linde,55,11.57044786
Linde,60,12.15506791
Linde,65,12.71891669
Linde,70,13.26425144
Linde,75,13.79294206
Linde,80,14.30655879
Linde,85,14.80643579
Linde,90,15.29371834
Linde,95,15.76939851
Linde,100,16.23434257
